time,ax,ay,az,yaw,gps_lat,gps_lon
0,0.9208,2.01992,9.3312,106.9097,12.94564,80.212978
0.043,0.5018,0.81512,9.567,106.9644,0,0
0.086,0.6934,1.61096,9.8567,107.0134,0,0
0.129,-0.129,0.38512,10.5558,107.0761,0,0
0.172,-0.0692,0.86496,9.7023,107.1323,0,0
0.215,0.4707,2.20952,9.166,107.1727,0,0
0.258,0.0505,0.96072,10.0925,107.2239,0,0
0.301,0.3774,0.87928,10.2577,107.2766,0,0
0.344,0.4683,0.73952,9.658,107.3238,0,0
0.387,-0.129,0.9416,9.1253,107.362,0,0
0.43,0.0649,1.12064,9.5562,107.3954,0,0
0.473,0.6072,0.84008,9.9046,107.4192,0,0
0.516,0.2636,0.54128,10.6013,107.4353,0,0
0.559,0.1044,0.53168,10.3535,107.4396,0,0
0.602,0.3654,0.46752,9.4509,107.437,0,0
0.645,0.3343,0.48664,9.4928,107.4223,0,0
0.688,0.3534,1.4252,9.3802,107.3851,0,0
0.731,0.2469,0.93872,10.3571,107.3407,0,0
0.774,-0.044,0.47616,11.2992,107.2947,0,0
0.817,0.023,0.7108,10.7964,107.2466,0,0
0.86,0.3953,0.79024,8.8403,107.1867,0,0
0.903,0.442,0.46176,8.8954,107.1207,0,0
0.946,0.1858,0.37848,10.1871,107.0523,0,0
0.989,0.4204,0.53648,8.6177,106.9809,0,0
1.032,0.0912,0.8764,9.0822,106.8966,12.945638,80.212996
1.075,-0.2416,-0.35128,11.0478,106.8235,0,0
1.118,-0.2044,-0.18464,10.6755,106.7459,0,0
1.161,-0.548,-0.95272,10.9365,106.759,0,0
1.204,-1.0628,-1.78592,10.9221,106.6797,0,0
1.247,-0.542,-0.89432,8.316,106.6134,0,0
1.29,-0.7407,-1.3128,8.6512,106.5489,0,0
1.333,-0.7671,-1.62024,9.5598,106.4949,0,0
1.376,-0.6557,-2.09904,9.3156,106.4465,0,0
1.419,-0.5516,-2.15464,9.4221,106.4086,0,0
1.462,-0.2942,-2.20824,9.6137,106.3825,0,0
1.505,-0.4283,-1.53976,9.2126,106.3771,0,0
1.548,-0.4882,-1.7112,10.223,106.3826,0,0
1.591,-0.6893,-1.2908,10.32,106.4032,0,0
1.634,-0.5708,-0.3944,10.3116,106.4381,0,0
1.677,-0.8078,-1.1232,10.8024,106.4825,0,0
1.72,-0.7096,-1.51296,10.0997,106.5351,0,0
1.763,-0.384,-1.00448,8.6045,106.5924,0,0
1.806,-0.5097,-0.79088,9.3216,106.6582,0,0
1.849,-0.8305,-2.32704,11.0825,106.7123,0,0
1.892,-0.3098,-1.82232,9.9824,106.7717,0,0
1.935,0.442,-0.45376,6.9932,106.8443,0,0
1.978,0.1882,-1.65184,10.0422,106.9053,0,0
2.021,0.2672,-1.21992,11.4979,106.9707,12.945628,80.213016
2.064,0.3833,-0.11288,9.8483,107.0377,0,0
2.107,0.3151,1.98352,9.002,107.0349,0,0
2.15,-0.0919,0.6284,12.0163,107.1021,0,0
2.193,-0.1685,0.88312,12.537,107.1697,0,0
2.236,-0.3696,1.71344,10.0781,107.2458,0,0
2.279,-0.1853,1.83984,8.4836,107.3124,0,0
2.322,-0.1566,0.6428,9.6867,107.3843,0,0
2.365,0.2026,0.10552,8.9277,107.4546,0,0
2.408,0.0386,-1.2008,9.8136,107.5173,0,0
2.451,0.0589,-0.80816,8.7757,107.5787,0,0
2.494,0.357,0.09016,7.8958,107.6391,0,0
2.537,0.4623,-0.25264,9.215,107.6894,0,0
2.58,0.041,-0.92688,11.6667,107.7317,0,0
2.623,0.4181,0.72032,9.1731,107.7654,0,0
2.666,0.1703,0.63992,9.4533,107.7929,0,0
2.709,0.0553,0.1448,11.4285,107.8218,0,0
2.752,0.4671,0.50872,9.974,107.8485,0,0
2.795,0.2672,0.08064,9.7525,107.8719,0,0
2.838,0.5785,1.86672,8.8044,107.893,0,0
2.881,0.1846,0.45024,11.2824,107.9083,0,0
2.924,-0.2954,-0.40496,13.211,107.9214,0,0
2.967,0.0781,1.204,8.5016,107.9197,0,0
3.01,0.0398,0.76536,8.2765,107.9085,0,0
3.053,0.2313,0.99232,9.5694,107.8868,12.945635,80.213021
3.096,0.1547,0.62168,9.567,107.8607,0,0
3.139,-0.068,-0.09656,11.4572,107.8281,0,0
3.182,0.1128,1.54488,9.0929,107.7824,0,0
3.225,-0.0967,-0.06688,9.9991,107.7373,0,0
3.268,0.2409,0.78736,9.4748,107.6891,0,0
3.311,0.4767,1.75368,7.9066,107.6273,0,0
3.354,-0.305,0.8812,11.4572,107.5707,0,0
3.397,0.4216,-0.72576,13.7281,107.5211,0,0
3.44,0.2241,1.09,8.7709,107.4577,0,0
3.483,-0.3505,0.91952,7.3919,107.3902,0,0
3.526,-0.1709,-1.2716,11.1124,107.3219,0,0
3.569,0.4348,-0.28424,10.4588,107.2374,0,0
3.612,0.1224,-0.11952,7.0722,107.1436,0,0
3.655,-0.2451,-3.11232,10.6324,107.0445,0,0
3.698,0.9232,-3.40152,11.8942,106.9309,0,0
3.741,0.2612,-0.8704,6.1804,106.8057,0,0
3.784,0.1224,-1.54648,8.4285,106.6803,0,0
3.827,0.0733,-1.79648,10.8431,106.5664,0,0
3.87,0.6287,-1.81848,10.7102,106.4611,0,0
3.913,1.0872,-0.7076,9.5442,106.3633,0,0
3.956,0.4623,-1.04752,10.3056,106.2877,0,0
3.999,0.1379,-2.1048,11.2753,106.2417,0,0
4.042,0.43,-1.1452,9.8914,106.1988,12.945617,80.213066
4.085,0.1128,-0.58208,9.7346,106.1694,0,0
4.128,0.5007,0.09496,9.7908,106.1445,0,0
4.171,-0.1051,0.3248,11.2381,106.1378,0,0
4.214,0.0637,0.3344,11.043,106.1421,0,0
4.257,0.0182,0.76248,10.8658,106.155,0,0
4.3,0.205,-0.24408,9.4449,106.184,0,0
4.343,-0.0129,-0.06592,9.5047,106.213,0,0
4.386,0.448,1.17712,6.8795,106.2207,0,0
4.429,-0.0009,-0.51032,10.9568,106.2464,0,0
4.472,-0.0165,-0.63864,11.4967,106.2692,0,0
4.515,0.2971,0.162,7.8647,106.2782,0,0
4.558,0.2564,-0.6836,8.4549,106.2908,0,0
4.601,0.2277,-0.3676,10.5283,106.298,0,0
4.644,0.3187,-0.40976,8.4872,106.3012,0,0
4.687,0.2708,0.21184,9.7035,106.2934,0,0
4.73,0.3307,0.22424,11.62,106.2849,0,0
4.773,0.436,0.19648,11.1747,106.2763,0,0
4.816,0.2337,0.18304,10.1631,106.2671,0,0
4.859,0.4564,1.21256,8.17,106.2391,0,0
4.902,0.3426,-0.83496,10.5582,106.2362,0,0
4.945,0.3905,0.7136,8.4645,106.21,0,0
4.988,0.6299,-0.59552,10.3355,106.1964,0,0
5.031,0.436,0.55848,10.5726,106.162,12.9456042632409,80.2130982635237
5.074,0.7939,0.57096,9.1863,106.1152,0,0
5.117,0.5366,0.09496,10.2086,106.0626,0,0
5.16,0.0374,-0.21912,11.7134,106.0114,0,0
5.203,0.3343,1.04688,8.1831,105.9207,0,0
5.246,0.2971,-0.06592,9.6077,105.8397,0,0
5.289,0.4887,0.62552,9.2174,105.7325,0,0
5.332,0.667,0.86208,8.9337,105.6163,0,0
5.375,0.199,-0.50648,10.6204,105.5128,0,0
5.418,0.2756,0.55176,11.2238,105.3791,0,0
5.461,0.1834,0.16296,10.2206,105.2372,0,0
5.504,0.1319,0.85824,9.9141,105.0707,0,0
5.547,-0.0033,0.5384,11.0394,104.9119,0,0
5.59,0.0326,-0.0736,11.6236,104.7524,0,0
