time,ax,ay,az,yaw ,acc,velo,dist
0,-0.2738,0.767655,9.8277,196.3093,0.767655,0.572001179746527,0.572001179746527
0.043,-0.0439,1.308195,9.2268,196.2898,0.875763,1.25211035949305,1.82411153923958
0.086,0.0554,1.017765,9.2663,196.2629,0.9041634,1.96061993923958,3.78473147847916
0.129,0.2841,0.925995,9.5691,196.2332,0.90852972,2.67349583898611,6.45822731746527
0.172,0.0626,1.66383,9.8935,196.2133,1.059589776,3.53743179473263,9.9956591121979
0.215,-0.1109,1.563345,10.0204,196.1904,1.1603408208,4.50211879527916,14.4977779074771
0.258,-0.0379,1.650075,9.8445,196.1699,1.25828765664,5.56475263166569,20.0625305391427
0.301,-0.0068,1.285515,9.6745,196.1507,1.263733125312,6.63283193672421,26.695362475867
0.344,-0.1708,1.59726,10.1102,196.1367,1.3304385002496,7.76761661672034,34.4629790925873
0.387,-0.1433,2.01201,9.933,196.1299,1.46675280019968,9.03871559666655,43.5016946892539
0.43,-0.239,1.69785,9.5033,196.1248,1.51297224015974,10.3560340165728,53.8577287058267
0.473,-0.2785,2.230725,9.3644,196.1344,1.6565227921278,11.8169029884471,65.6746316942738
0.516,0.0686,2.057265,9.5296,196.1325,1.73667123370224,13.3579204018959,79.0325520961697
0.559,0.0758,2.45574,9.8121,196.132,1.88048498696179,15.0427515686042,94.0753036647739
0.602,-0.8903,2.842875,9.8708,196.1342,2.07296298956943,16.9200607379202,110.995364402694
0.645,-0.652,3.012555,10.3281,196.1425,2.26088139165555,18.9852883093223,129.980652712016
0.688,-0.5443,2.602845,11.1445,196.1309,2.32927411332444,21.1189086023932,151.09956131441
0.731,-1.6696,3.309285,10.2634,196.1491,2.52527629065955,23.4485310727993,174.548092387209
0.774,-0.5108,1.75938,10.4095,196.1109,2.37209703252764,25.6249742850735,200.173066672282
0.817,-0.9465,2.066085,9.5751,196.1051,2.31089462602211,27.7402150908421,227.913281763124
0.86,-0.7035,1.275435,9.5727,196.0585,2.10380270081769,29.6483639714063,257.561645734531
0.903,-0.0762,0.181965,10.0528,195.9904,1.71943516065415,31.172145311807,288.733791046338
0.946,-0.3779,1.67391,9.6589,196.0162,1.71033012852332,32.6868216200768,321.420612666415
0.989,-0.269,3.199875,8.9933,196.0758,2.00823910281866,34.499406902642,355.920019569057
1.032,-0.9346,2.04855,10.2886,196.0468,2.01630128225493,36.3200543646435,392.2400739337
1.075,-1.4888,2.29362,10.2479,210.6244,2.07176502580394,38.1961655701939,430.436239503894
1.118,-0.8532,2.259705,10.2958,208.8129,2.10935302064315,40.1098647705836,470.546104274478
1.161,0.0686,2.99376,10.0947,207.277,2.28623441651452,42.2004453668447,512.746549641322
1.204,-0.002,2.47842,9.969,205.9069,2.32467153321162,44.3294630798028,557.076012721125
1.247,0.2637,1.43514,9.1537,204.6736,2.14676522656929,46.2805744861186,603.356587207244
