time,ax,ay,az,yaw ,acc,velo,dis
0,-0.289,-0.02915,10.3834,269.9347,-0.02915,-0.02915,-0.02915
0.043,0.434,5.29738,5.4597,269.4476,1.036156,-0.1685249360207,-0.1976749360207
0.086,1.1439,1.32979,8.4405,268.9149,1.0948828,-0.249173072041399,-0.446848008062098
0.129,0.616,0.85976,15.0617,268.3628,1.04785824,-0.376845768062098,-0.823693776124197
0.172,0.197,2.90081,16.4443,267.7665,1.418448592,-0.133928112082798,-0.957621888206994
0.215,0.2963,1.34959,11.2693,267.1913,1.4046768736,0.095217825496503,-0.862404062710491
0.258,0.78,-0.4334,10.891,266.6157,1.03706149888,-0.043251611644196,-0.905655674354687
0.301,0.6339,1.96977,9.9884,265.9663,1.223603199104,0.004820651439104,-0.900835022915583
0.344,0.428,0.99143,7.7175,265.2907,1.1771685592832,0.006458274701605,-0.894376748213977
0.387,0.1419,0.87681,8.2167,264.5786,1.11709684742656,-0.051975813892534,-0.946352562106512
0.43,-0.0748,2.43859,8.559,263.845,1.38139547794125,0.153888728028015,-0.792463834078497
0.473,-0.1143,0.19074,10.2026,263.1076,1.143264382353,0.121622174360314,-0.670841659718183
0.516,-0.0867,1.00584,10.3451,262.3173,1.1157795058824,0.061870744222013,-0.60897091549617
0.559,0.1347,1.52075,8.8739,261.4754,1.19677360470592,0.083113412907233,-0.525857502588938
0.602,0.4268,0.836,9.7645,260.6492,1.12461888376474,0.032201360651269,-0.493656141937669
0.645,0.1659,1.05721,10.9065,259.7772,1.11113710701179,-0.032192468357643,-0.525848610295312
0.688,-0.2447,-0.29777,11.3746,258.8858,0.829355685609431,-0.378367718768911,-0.904216329064223
0.731,-0.0975,1.09934,9.7202,257.9645,0.883352548487545,-0.670546106302066,-1.57476243536629
0.774,0.6351,1.98165,7.3907,257.0145,1.10301203879004,-0.743065003532729,-2.31782743889902
0.817,0.4879,2.32925,8.7458,256.0787,1.34825963103203,-0.5703363085214,-2.88816374742042
0.86,0.6806,1.56288,10.5283,255.1405,1.39118370482562,-0.354683539716476,-3.24284728713689
