time,ax,ay,az,yaw,gps_lat,gps_lon,distance,pred_lat,pred_lon
0,0.0166,0.03685,9.8658,90,12.945866,80.212048,0.001800097689271,12.945866,80.212048
0.043,0.0237,-0.27918,9.8143,430.3018,0,0,0.005340925313471,12.9458660107333,80.2120480307619
0.086,0.0106,-0.11066,9.9268,412.0084,0,0,0.010600555648274,12.9458660398493,80.2120480690121
0.129,-0.1103,-0.0803,9.8741,396.931,0,0,0.017562847968091,12.9458660898999,80.2120481076147
0.172,-0.1115,0.00924,9.9292,385.6838,0,0,0.026230175372386,12.9458661601458,80.2120481422784
0.215,-0.0601,0.12903,9.6766,377.8154,0,0,0.036628228350783,12.9458662491736,80.2120481716347
0.258,-0.0038,0.05005,9.8011,372.4937,0,0,0.048766244145423,12.9458663557485,80.2120481958653
0.301,-0.0098,0.17248,9.782,368.9474,0,0,0.062675466842699,12.945866479315,80.2120482158275
0.344,0.0477,-0.15543,9.7904,366.5872,0,0,0.078323127739249,12.9458666191088,80.2120482323916
0.387,-0.0158,0.10142,9.7987,365.0317,0,0,0.095727064561995,12.945866775023,80.2120482464773
0.43,0.0261,-0.08558,9.9819,364.0186,0,0,0.114868744636548,12.945866946745,80.2120482588559
0.473,-0.0289,-0.03949,9.8706,363.3562,0,0,0.13573931968564,12.9458671341167,80.2120482701307
0.516,-0.0074,0.02629,10.0681,362.9212,0,0,0.158343556387143,12.9458673371373,80.2120482807607
0.559,-0.0577,-0.03817,10.0944,362.6422,0,0,0.182672855383562,12.9458675557034,80.2120482911102
0.602,-0.023,0.33319,9.8538,362.4671,0,0,0.208789995901172,12.9458677903627,80.2120483014843
0.645,0.1722,0.07238,9.9951,362.3515,0,0,0.236705175058222,12.9458680411986,80.2120483120534
0.688,0.0142,0.33319,10.329,362.2517,0,0,0.266474379867371,12.9458683087127,80.2120483228463
0.731,0.0453,0.20284,10.1064,362.1879,0,0,0.298123887830377,12.9458685931361,80.212048333996
0.774,0.0237,0.20669,9.539,362.1482,0,0,0.331677762758997,12.9458688946813,80.2120483456022
0.817,0.092,-0.16192,9.6575,362.1305,0,0,0.367089168426097,12.9458692129236,80.21204835775
0.86,0.0824,-0.10142,9.4971,362.1304,0,0,0.40432721931446,12.9458695475819,80.2120483705239
0.903,0.068,-0.15675,9.4707,362.1369,0,0,0.443353495707925,12.9458698983096,80.212048383952
0.946,0.2703,-0.17644,9.4228,362.1669,0,0,0.484132656681272,12.9458702647832,80.2120483981801
0.989,0.0082,-0.11066,9.8538,362.2057,12.945866612111,80.2120519073466,0.526641565070937,12.9458706467917,80.2120484132772
1.032,-0.0445,0.1133,9.8203,362.2934,0,0,0.570900852937774,12.9458710445062,80.2120484296206
1.075,0.0944,0.04609,9.7437,362.3934,0,0,0.616918452033366,12.9458714579914,80.2120484473538
1.118,0.0273,0.01452,9.94,362.526,0,0,0.664694582982706,12.945871887235,80.212048466784
1.161,0.074,-0.08426,9.8801,362.6968,0,0,0.714211531703996,12.9458723320584,80.2120484882829
1.204,0.1159,0.24497,10.0058,362.9024,0,0,0.765516050770375,12.9458727928592,80.2120485122548
1.247,0.1015,0.34232,10.3255,363.1313,0,0,0.818668371990074,12.9458732701558,80.2120485390467
1.29,0.062,-0.25278,9.685,363.3335,0,0,0.873609994066732,12.9458737634217,80.212048568527
1.333,-0.0601,-0.30283,9.3762,363.5605,0,0,0.93027696009793,12.9458742720563,80.212048601001
1.376,0.0417,-0.32923,9.8538,363.81,0,0,0.988608291044952,12.9458747954832,80.2120486367678
1.419,0.2476,0.25938,9.7473,364.0753,0,0,1.04866325858538,12.9458753342048,80.2120486761515
1.462,0.1015,-0.23309,10.0322,364.2988,0,0,1.11040021269094,12.9458758878566,80.2120487188545
1.505,0.4918,-0.69531,9.7461,364.531,0,0,1.17370095775659,12.9458764553548,80.2120487649995
1.548,-0.0445,-0.41745,9.7712,364.7742,0,0,1.23850302137331,12.9458770361117,80.2120488147687
1.591,0.074,-0.31999,10.0489,365.0512,0,0,1.30477044958787,12.9458776297546,80.2120488686088
1.634,0.0704,-0.8888,9.9065,365.3385,0,0,1.37236375045933,12.945878234999,80.2120489266409
1.677,0.0381,-0.46618,9.2864,365.6061,0,0,1.44123646904442,12.9458788514237,80.2120489887262
1.72,0.5241,-1.08504,9.4432,365.8709,0,0,1.51123862228875,12.9458794776662,80.2120490548001
1.763,0.3278,-0.1606,9.5306,366.1379,0,0,1.58240630656402,12.9458801140236,80.2120491250176
1.806,0.499,-0.01584,10.1626,366.3987,0,0,1.65480252937371,12.9458807610425,80.21204919947
1.849,1.0329,-0.29755,9.3821,366.6105,0,0,1.72844098793998,12.9458814188863,80.2120492776956
1.892,0.7731,0.20416,9.8801,366.8187,0,0,1.803424851304,12.9458820884626,80.2120493598475
1.935,0.9551,-0.70576,9.6539,366.9591,0,0,1.87968014691856,12.9458827691907,80.2120494451043
1.978,0.5576,-1.07052,9.4312,367.0744,0,0,1.95706563022598,12.9458834598369,80.2120495330509
2.021,0.4535,-1.35498,9.9125,367.2102,12.9458835491619,80.2120540796945,2.0353997086216,12.9458841587415,80.2120496237755
2.064,0.3158,-1.59731,9.916,367.3418,0,0,2.11447158242954,12.9458848640219,80.212049717017
2.107,0.3134,-2.2649,9.8394,367.4901,0,0,2.19396675687864,12.945885572839,80.2120498126405
