time,ax,ay,az,yaw,gps_lon,gps_lat,
0,0.0166,0.03685,9.8658,90,80.212048,12.945866,180
0.043,0.0237,-0.27918,9.8143,430.3018,0,0,520.3018
0.086,0.0106,-0.11066,9.9268,412.0084,0,0,502.0084
0.129,-0.1103,-0.0803,9.8741,396.931,0,0,486.931
0.172,-0.1115,0.00924,9.9292,385.6838,0,0,475.6838
0.215,-0.0601,0.12903,9.6766,377.8154,0,0,467.8154
0.258,-0.0038,0.05005,9.8011,372.4937,0,0,462.4937
0.301,-0.0098,0.17248,9.782,368.9474,0,0,458.9474
0.344,0.0477,-0.15543,9.7904,366.5872,0,0,456.5872
0.387,-0.0158,0.10142,9.7987,365.0317,0,0,455.0317
0.43,0.0261,-0.08558,9.9819,364.0186,0,0,454.0186
0.473,-0.0289,-0.03949,9.8706,363.3562,0,0,453.3562
0.516,-0.0074,0.02629,10.0681,362.9212,0,0,452.9212
0.559,-0.0577,-0.03817,10.0944,362.6422,0,0,452.6422
0.602,-0.023,0.33319,9.8538,362.4671,0,0,452.4671
0.645,0.1722,0.07238,9.9951,362.3515,0,0,452.3515
0.688,0.0142,0.33319,10.329,362.2517,0,0,452.2517
0.731,0.0453,0.20284,10.1064,362.1879,0,0,452.1879
0.774,0.0237,0.20669,9.539,362.1482,0,0,452.1482
0.817,0.092,-0.16192,9.6575,362.1305,0,0,452.1305
0.86,0.0824,-0.10142,9.4971,362.1304,0,0,452.1304
0.903,0.068,-0.15675,9.4707,362.1369,0,0,452.1369
0.946,0.2703,-0.17644,9.4228,362.1669,0,0,452.1669
0.989,0.0082,-0.11066,9.8538,362.2057,80.21204885,12.94587014,452.2057
1.032,-0.0445,0.1133,9.8203,362.2934,0,0,452.2934
1.075,0.0944,0.04609,9.7437,362.3934,0,0,452.3934
1.118,0.0273,0.01452,9.94,362.526,0,0,452.526
1.161,0.074,-0.08426,9.8801,362.6968,0,0,452.6968
1.204,0.1159,0.24497,10.0058,362.9024,0,0,452.9024
1.247,0.1015,0.34232,10.3255,363.1313,0,0,453.1313
1.29,0.062,-0.25278,9.685,363.3335,0,0,453.3335
1.333,-0.0601,-0.30283,9.3762,363.5605,0,0,453.5605
1.376,0.0417,-0.32923,9.8538,363.81,0,0,453.81
1.419,0.2476,0.25938,9.7473,364.0753,0,0,454.0753
1.462,0.1015,-0.23309,10.0322,364.2988,0,0,454.2988
1.505,0.4918,-0.69531,9.7461,364.531,0,0,454.531
1.548,-0.0445,-0.41745,9.7712,364.7742,0,0,454.7742
1.591,0.074,-0.31999,10.0489,365.0512,0,0,455.0512
1.634,0.0704,-0.8888,9.9065,365.3385,0,0,455.3385
1.677,0.0381,-0.46618,9.2864,365.6061,0,0,455.6061
1.72,0.5241,-1.08504,9.4432,365.8709,0,0,455.8709
1.763,0.3278,-0.1606,9.5306,366.1379,0,0,456.1379
1.806,0.499,-0.01584,10.1626,366.3987,0,0,456.3987
1.849,1.0329,-0.29755,9.3821,366.6105,0,0,456.6105
1.892,0.7731,0.20416,9.8801,366.8187,0,0,456.8187
1.935,0.9551,-0.70576,9.6539,366.9591,0,0,456.9591
1.978,0.5576,-1.07052,9.4312,367.0744,0,0,457.0744
2.021,0.4535,-1.35498,9.9125,367.2102,80.21205018,12.94588408,457.2102
2.064,0.3158,-1.59731,9.916,367.3418,0,0,457.3418
2.107,0.3134,-2.2649,9.8394,367.4901,0,0,457.4901
2.15,0.3039,-2.35312,9.5725,367.6779,0,0,457.6779
2.193,0.2895,-2.35576,9.7532,367.8994,0,0,457.8994
2.236,0.1422,-2.56124,10.4033,368.116,0,0,458.116
2.279,0.396,-3.10244,10.1411,368.3259,0,0,458.3259
2.322,-0.2803,-3.35918,9.8765,368.524,0,0,458.524
2.365,-0.023,-4.34676,8.956,368.7193,0,0,458.7193
2.408,0.3458,-4.0018,8.847,368.9229,0,0,458.9229
2.451,0.7959,-2.0977,9.8083,369.1284,0,0,459.1284
2.494,0.8904,-1.55386,9.7532,369.256,0,0,459.256
2.537,0.2368,-1.67629,10.5457,369.2972,0,0,459.2972
2.58,0.3314,-2.67707,10.8582,369.2805,0,0,459.2805
2.623,0.6115,-3.26172,9.9101,369.2361,0,0,459.2361
2.666,0.2021,-3.01686,9.9328,369.1704,0,0,459.1704
2.709,-0.3306,-3.23279,9.3355,369.0905,0,0,459.0905
2.752,0.153,-3.32497,9.5473,369.0346,0,0,459.0346
2.795,0.0968,-3.28416,9.855,368.9875,0,0,458.9875
2.838,0.1027,-3.51329,10.0585,368.9363,0,0,458.9363
2.881,-0.2013,-3.59359,9.679,368.8887,0,0,458.8887
2.924,-0.5473,-2.75869,10.3219,368.8844,0,0,458.8844
2.967,-0.3737,-3.31573,10.6116,368.9157,0,0,458.9157
3.01,-0.4898,-2.42561,10.2057,368.9662,80.21205198,12.94589748,458.9662
3.053,-0.3402,-1.67497,11.1922,369.0469,0,0,459.0469
3.096,-0.3198,-2.98122,9.4336,369.1544,0,0,459.1544
3.139,-0.0912,-3.14985,6.7761,369.296,0,0,459.296
3.182,0.4487,-2.31627,8.853,369.4327,0,0,459.4327
3.225,-0.0828,-1.89222,10.8869,369.5664,0,0,459.5664
3.268,-0.2049,-1.463,12.4754,369.7056,0,0,459.7056
3.311,-0.2181,-1.67893,11.1766,369.8448,0,0,459.8448
3.354,-0.3294,-1.13773,9.0589,369.9821,0,0,459.9821
3.397,-0.4994,-1.1825,10.0765,370.1128,0,0,460.1128
3.44,-0.0122,-1.8106,12.1905,370.2389,0,0,460.2389
3.483,-0.1367,-1.6368,10.7468,370.3443,0,0,460.3443
3.526,-0.509,-1.66309,9.3007,370.4299,0,0,460.4299
3.569,0.1985,-1.9041,8.2102,370.5028,0,0,460.5028
3.612,-0.485,-0.90332,8.3969,370.5354,0,0,460.5354
3.655,-0.5281,0.60049,9.7508,370.5273,0,0,460.5273
3.698,0.0608,1.26016,9.1978,370.5016,0,0,460.5016
3.741,0.5529,2.69687,10.3877,370.4435,0,0,460.4435
3.784,0.1207,3.34862,10.5146,370.3705,0,0,460.3705
3.827,0.6079,1.3431,8.4544,370.27,0,0,460.27
3.87,0.742,1.61436,8.4723,370.1539,0,0,460.1539
3.913,1.0377,0.99946,9.8694,370.0111,0,0,460.0111
3.956,0.1003,0.97053,9.2912,369.8717,0,0,459.8717
3.999,0.3529,3.11817,10.2812,369.7452,80.21205207,12.94589984,459.7452
4.042,-0.2672,2.02521,10.7564,369.6323,0,0,459.6323
4.085,0.3039,1.74218,8.6256,369.5336,0,0,459.5336
4.128,-0.3031,1.75791,8.8638,369.5326,0,0,459.5326
4.171,-0.2815,-0.74404,10.286,369.4578,0,0,459.4578
4.214,-0.1175,-1.51041,9.3654,369.4015,0,0,459.4015
4.257,-0.3366,-1.48797,10.7971,369.3565,0,0,459.3565
4.3,-0.5042,-3.44344,10.6822,369.3343,0,0,459.3343
4.343,0.1626,-3.61856,11.5896,369.3195,0,0,459.3195
4.386,-0.0541,-1.96867,10.7361,369.3022,0,0,459.3022
4.429,-0.6466,-2.06998,8.7644,369.2833,0,0,459.2833
4.472,-0.3737,-2.89828,10.6259,369.2537,0,0,459.2537
4.515,-0.5976,-2.37556,9.5593,369.2131,0,0,459.2131
4.558,-0.6263,-1.3497,8.7477,369.1418,0,0,459.1418
4.601,-0.3043,-1.89354,9.8909,369.0428,0,0,459.0428
4.644,0.3254,-1.55914,9.6144,368.9038,0,0,458.9038
4.687,-0.2648,-1.26676,10.0789,368.7237,0,0,458.7237
4.73,-0.4096,-1.41163,9.3678,368.5391,0,0,458.5391
4.773,0.2632,-1.55122,9.6216,368.3275,0,0,458.3275
4.816,0.1806,-2.21749,9.5102,368.0964,0,0,458.0964
4.859,-0.4024,-1.32077,10.0537,367.8452,0,0,457.8452
4.902,-0.1319,-1.7369,10.3422,367.6023,0,0,457.6023
4.945,-0.3833,-1.28128,9.6467,367.353,0,0,457.353
4.988,0.6343,-1.69213,8.9644,367.1015,0,0,457.1015
5.031,0.4152,-2.21353,10.3865,366.8334,0,0,456.8334
5.074,0.3984,-2.41637,10.2261,366.5509,0,0,456.5509
5.117,0.5229,-2.37292,9.8299,366.2675,0,0,456.2675
5.16,0.2033,-1.22991,10.8941,365.9627,0,0,455.9627
5.203,-0.5844,-1.72898,11.3693,365.646,0,0,455.646
5.246,-0.2456,-1.63284,9.0182,365.3233,0,0,455.3233
5.289,0.1889,-1.73426,7.3997,365.0114,0,0,455.0114
5.332,0.5888,-1.59599,10.9491,364.6853,0,0,454.6853
5.375,0.2823,-2.41505,9.9974,364.3467,0,0,454.3467
5.418,-0.1032,-1.08504,9.5318,364.0051,0,0,454.0051
5.461,0.0704,-1.64604,11.0317,363.6611,0,0,453.6611
5.504,0.0728,-1.69081,8.4029,363.3246,0,0,453.3246
5.547,0.0908,-0.60577,9.2253,362.9846,0,0,452.9846
5.59,0.2356,-1.51041,10.1399,362.6413,0,0,452.6413
5.633,-0.1762,-0.62678,9.776,362.2991,0,0,452.2991
5.676,-0.2312,0.29887,10.2812,361.9735,0,0,451.9735
5.719,-0.3964,-2.27546,9.8921,361.6496,0,0,451.6496
5.762,-0.0182,-1.70137,9.2864,361.3279,0,0,451.3279
5.805,0.3505,-0.65714,9.8047,361.0061,0,0,451.0061
5.848,0.0608,0.6413,9.8299,361.0065,0,0,451.0065
5.891,0.4715,2.12135,10.7337,360.6678,0,0,450.6678
5.934,0.4032,3.43156,10.4093,360.3327,0,0,450.3327
5.977,0.9443,1.58543,9.4109,360.0051,0,0,450.0051
6.02,0.39,0.57541,8.4424,359.6891,80.2120541,12.94590801,449.6891
6.063,0.1434,1.00078,8.7896,359.3902,0,0,449.3902
6.106,0.165,0.748,9.9304,359.1133,0,0,449.1133
6.149,0.6462,0.60181,11.0784,358.8668,0,0,448.8668
6.192,-0.2696,1.61568,11.9942,358.6557,0,0,448.6557
6.235,0.1973,1.38534,9.5641,358.4698,0,0,448.4698
6.278,-0.0014,0.55704,8.525,358.317,0,0,448.317
6.321,-0.0433,0.99022,9.1583,358.2019,0,0,448.2019
6.364,0.0345,0.4543,8.8051,358.1232,0,0,448.1232
6.407,0.1267,-0.0066,8.8865,358.0809,0,0,448.0809
